
catalog,catalogTitle,dataset,datasetTitle,publisher
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/82c863fd-f914-4d41-b8c5-7b4e38f91fdf,Zoznam rozpracovaných projektov jednoduchých pozemkových úprav,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/9e2b3d50-4a11-4ea3-a8ee-1207fec30994,Programy schôdzí 8. volebného obdobia,https://data.gov.sk/organization/218596D9-03A4-4342-A807-0B42BD452D29
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/53769ea3-1fd9-42cc-9c99-362670eb6a01,Registre prevádzkovateľov,https://data.gov.sk/organization/3553318C-C815-4B28-8087-1F99540B3652
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/f682f028-1aab-45f3-9e69-1dd169c35671,Cestná dopravná sieť SR / INSPIRE,https://data.gov.sk/organization/74297377-7AD7-4ED7-80CF-457EEA6E75AD
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/023f8001-753e-43c7-bdc6-a330484763d3,Zoznam rozhodnutí PMÚ SR (08-2021),https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/ae93b2c5-61bc-420d-8370-d96c7cefc5f4,Počet prístupov na www.antimon.gov.sk (09-2021),https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/6d16c5db-b81b-4ff4-b3d3-2f2e5c7927b9,Dotácie (žiadosti) - Odbor riadenia a kontroly technickej pomoci PRV,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/16a3ddd3-9ab3-45e0-aad2-9ceb3463c759,Register osvedčení o odbornej spôsobilosti,https://data.gov.sk/organization/EAFB6178-F2D3-4C3D-84F0-F10D10390C75
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/a2e15095-8342-467b-b230-85938786fc5b,Vývoj certifikovaného čerpania v rámci OPII,https://data.gov.sk/organization/74297377-7AD7-4ED7-80CF-457EEA6E75AD
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/65974bde-e6d1-4ad2-99c2-7c36af4982fa,Povolenia na sekundárny zdroj živín,https://data.gov.sk/organization/3553318C-C815-4B28-8087-1F99540B3652
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/4efc095f-34a6-4c45-8392-a1eebf6e757c,Zoznam inštitúcií so zriadenou službou Všeobecná agenda,https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/3c34a3f0-e3aa-488d-b9bb-ebcf14386401,Register schém štátnej pomoci,https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/7fff5f3f-8cc2-4365-a345-d2dc1c5377ec,Vestník Úradu priemyselného vlastníctva SR,https://data.gov.sk/organization/E35FD29D-5194-44F2-911C-12B92D6BC36D
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/ee1a1029-5270-46c3-9c5d-3e7706e00c87,Zoznam kontaktných miest,https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/123ae6c8-4cfb-4fd2-8012-039a3576aa82,"Vnútorné predpisy, usmernenia a príkazné listy",https://data.gov.sk/organization/AA27301C-CE11-42D5-9EF7-EAE8826DE812
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/17921fba-386c-460e-ab8a-6eef618f8427,"Súhrnná správa o zákazkách so zmluvnými cenami vyššími ako 1 000,00 €",https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/fc1f8912-13fc-421d-9322-2039ac2f9734,Vestník verejného obstarávania november 2021,https://data.gov.sk/organization/656F92FC-F8ED-4DA5-A9F5-1499E03AD575
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/6fe14f70-5b48-477f-98a6-662c08325283,Celkový dovoz a celkový vývoz podľa kontinentov a ekonomických zoskupení krajín [zo0004rs],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/892a6dc5-20c3-45dd-818a-8533d9e7a754,Faktúry za tovary a služby RÚVZ Bardejov,https://data.gov.sk/organization/EAFB6178-F2D3-4C3D-84F0-F10D10390C75
