"Identifikátor schémy","Názov dotačnej schémy"," Alokované prostriedky na schému ","Zdroj financovania","Kód zdroja financovania","Názov poskytovateľa","IČO poskytovateľa"
"DM – 21/2022","Schéma minimálnej pomoci pre sektor vajec (sektorová schéma)"," 21,000,000.00 € ","Štátny rozpočet",3,"Ministerstvo pôdohospodárstva a rozvoja vidieka SR","0156621"
"ID2","Schéma minimálnej pomoci na podporu investícií do lesníckych technológií, do spracovania a mobilizácie lesníckych výrobkov a ich uvádzania na trh"," 23,529,413.00 € ","Nórsky finančný mechanizmus/Finančný mechanizmus EHP",3,"Ministerstvo pôdohospodárstva a rozvoja vidieka SR","0156621"
"ID3","Schéma štátnej pomoci na podporu potravinárskeho sektora v dôsledku agresie Ruska proti Ukrajine"," 23,071,765.00 € ","Finančný mechanizmus EHP/Štátny rozpočet",1,"Ministerstvo pôdohospodárstva a rozvoja vidieka SR","0156621"
"ID4","Schéma minimálnej pomoci pre sektor ovčieho a kozieho mäsa (sektorová schéma)"," 10,588,236.00 € ","Finančný mechanizmus EHP/Štátny rozpočet",1,"Ministerstvo pôdohospodárstva a rozvoja vidieka SR","0156621"
"ID5","Schéma štátnej pomoci na podporu obnovy lesov poškodených lesnými požiarmi a prírodnými katastrofami a katastrofickými udalosťami (podopatrenie 8.4 Programu rozvoja vidieka SR 2014 –2020)"," 10,000,000.00 € ","Nórsky finančný mechanizmus/Štátny rozpočet",2,"Ministerstvo pôdohospodárstva a rozvoja vidieka SR","0156621"
"ID6","Miestny rozvoj, odstraňovanie chudoby ainklúzia Rómov"," 17,647,059.00 € ","Nórsky finančný mechanizmus/Štátny rozpočet",2,"Ministerstvo pôdohospodárstva a rozvoja vidieka SR","0156621"
"DM – 7/2022","Schéma minimálnej pomoci na podporu zriadenia a prevádzky operačných skupín Európskeho inovačného partnerstva"," 2,000,000.00 € ","Štátny rozpočet",3,"Ministerstvo pôdohospodárstva a rozvoja vidieka SR","0156621"
