"Identifikátor schémy","Názov dotačnej schémy","Právny základ","Legislatívny identifikátor"
"DM – 21/2022","Schéma minimálnej pomoci pre sektor vajec (sektorová schéma)","zákon č. 280/2017 Z. z.","https://data.gov.sk/id/eli/sk/zz/2017/280 "
"DM – 21/2023","Schéma minimálnej pomoci pre sektor vajec (sektorová schéma)","zákon č. 358/2015 Z. z.","https://data.gov.sk/id/eli/sk/zz/2015/358"
"DM – 21/2024","Schéma minimálnej pomoci pre sektor vajec (sektorová schéma)","zákon č. 523/2004 Z. z.","https://data.gov.sk/id/eli/sk/zz/2004/523"
"DM – 21/2025","Schéma minimálnej pomoci pre sektor vajec (sektorová schéma)","zákon č. 357/2015 Z. z.","https://data.gov.sk/id/eli/sk/zz/2015/357"
"DM – 21/2026","Schéma minimálnej pomoci pre sektor vajec (sektorová schéma)","zákon č. 177/2018 Z. z.","https://data.gov.sk/id/eli/sk/zz/2018/177"
"DM – 21/2027","Schéma minimálnej pomoci pre sektor vajec (sektorová schéma)","nariadenie Komisie (EÚ) č. 1408/2013","http://data.europa.eu/eli/reg/2013/1408/oj"
